Alisma trivialis
Sagittaria latifolia
Arisaema triphyllum
Lilium philadelphicum
Lilium superbum
Erythronium americanum
Smilacina racemosa
Maianthemum canadense
Medeola virginiana 
Trillium erectum
Cypripedium calceolus
Calopogon tuberosus
Saururus cernuus
Quercus alba
Asarum canadense
Aristolochia serpentaria
Phytolacca decandra
Anemone hepatica
Caltha palustris 
Coptis trifolia
Sanguinaria canadensis
Dentaria diphylla
Sarracenia purpurea
Mitella diphylla
Saxifraga virginiana
Rubus ordoratus
Baptisia tinctoria
Lupinus perennis
Apios americana
Polygala senega
Ludwigia palustris
Staphylea trifolia
Circaea quadrisulcata
Aralia nudicaulis
Cornus florida
Kalmia angustifolia
Lysimachia quadrifolia
Steironema ciliatum
Asclepias tuberosa
Verbena hastata
Monarda didyma
Hedeoma pulegioides
Pycnanthemum incanum 
Collinsonia canadensis
Verbascum blattaria
Chelone glabra
Mimulus ringens
Veronicastrum virginicum
Aureolaria virginica
Melampyrum lineare
Pedicularis canadensis
Sambucus canadensis
Lobelia cardinalis
Solidago sqarrosa
Gnaphalium obtusifolium
Ambrosia artemisiifolia
Rudbeckia triloba
Helenium atumnale
